,Year,Number
0,2009,889212.0
1,2010,796587.0
2,2011,678606.0
3,2012,671327.0
4,2013,662483.0
5,2014,679996.0
6,2015,462388.0
7,2016,530250.0
8,2017,461540.0
9,2018,572566.0
10,2019,1013539.0
