,Year,Africa,Asia,Europe,North America,Oceania,South America,Unknown
0,2010,13325,52694,1239,4856,0,126,1053
1,2011,7693,44583,996,2930,0,46,136
2,2012,10629,44416,908,1948,0,130,148
3,2013,15984,48840,482,4206,0,233,164
4,2014,17501,47197,818,4066,0,252,141
5,2015,22492,43115,2164,1528,0,522,99
6,2016,31647,48287,3664,811,0,529,50
7,2017,20248,26648,5026,1455,0,233,81
8,2018,10463,7522,3460,827,5,128,0
9,2019,16370,7856,4851,511,0,298,30
